iIdx,jIdx,sim
7223,7201,0.111732
7223,7255,0.110320
7223,12150,0.107143
7223,19547,0.107023
7223,7224,0.103152
7223,7246,0.102837
7223,5428,0.101517
7223,2843,0.099057
7223,6101,0.098969
7223,10503,0.098485
7223,12694,0.098404
7223,13179,0.097403
7223,14236,0.097257
21301,17611,0.122449
21301,15655,0.118644
21301,17081,0.103448
21301,20634,0.101695
21301,17040,0.100000
21301,25192,0.098039
21301,27385,0.096154
21301,25185,0.095238
21301,25183,0.095238
21301,24845,0.095238
21301,10759,0.093750
21301,28787,0.092593
21301,27567,0.090909
21301,25173,0.089744
21301,22593,0.088608
21301,17478,0.088235
21301,24846,0.086957
21301,25190,0.085106
21301,25253,0.085106
21301,20320,0.084337
16980,16981,0.565217
16980,31860,0.095238
16980,15349,0.075000
16980,29653,0.069767
16980,23078,0.069444
16980,24456,0.068182
16980,24908,0.068182
16980,12653,0.068182
16980,19873,0.065217
16980,23065,0.065217
16980,31342,0.062500
16980,18479,0.061856
16980,25443,0.061224
16980,28965,0.061224
16980,20564,0.059701
16980,20594,0.054054
16980,20584,0.051724
16980,26257,0.048387
16980,22996,0.047619
16980,23123,0.046875
8572,8532,0.625000
8572,8709,0.625000
8572,8691,0.625000
8572,8674,0.562500
8572,8671,0.562500
8572,8633,0.562500
8572,8643,0.562500
8572,8601,0.562500
8572,8483,0.562500
8572,8611,0.562500
8572,8713,0.562500
8572,8639,0.562500
8572,8719,0.555556
8572,8603,0.555556
8572,8730,0.529412
8572,8576,0.529412
8572,8718,0.529412
8572,8728,0.529412
8572,8631,0.529412
8572,8554,0.526316
12654,12644,0.152174
12654,10944,0.138614
12654,13102,0.129412
12654,22593,0.127907
12654,20693,0.123288
12654,28837,0.095238
12654,23510,0.092105
12654,15210,0.089552
12654,4709,0.086777
12654,27816,0.086207
12654,17194,0.084211
12654,21472,0.083333
12654,22377,0.079365
12654,15968,0.077922
12654,13316,0.076923
12654,9645,0.075581
12654,19761,0.074627
12654,27754,0.074074
12654,15963,0.074074
12654,27903,0.074074
11722,7646,0.150970
11722,13110,0.139860
11722,7576,0.129346
11722,4729,0.127615
11722,6061,0.123711
11722,11001,0.120408
11722,5904,0.116592
11722,7618,0.116228
11722,7647,0.108010
11722,6636,0.106576
11722,12264,0.105413
11722,4721,0.105337
11722,12512,0.104082
11722,7080,0.099744
11722,4739,0.094444
11722,7610,0.092486
11722,14631,0.085575
11722,14505,0.085106
11722,7605,0.083845
11722,10916,0.082329
2228,5751,0.199697
2228,2543,0.163170
2228,2235,0.158255
2228,5730,0.157701
2228,2896,0.153646
2228,2816,0.153365
2228,2785,0.152470
2228,6004,0.150122
2228,3813,0.148956
2228,4451,0.145736
2228,1391,0.142450
2228,3630,0.135438
2228,5194,0.129496
2228,2204,0.126133
2228,2320,0.125871
2228,3182,0.123932
2228,4151,0.120605
2228,2819,0.120430
2228,4221,0.120419
2228,2616,0.117397
7341,10453,0.200395
7341,3924,0.175809
7341,11244,0.162973
7341,8938,0.158537
7341,3930,0.141176
7341,7136,0.140255
7341,50,0.137021
7341,12394,0.133070
7341,6756,0.122151
7341,9528,0.119298
7341,10106,0.116801
7341,5362,0.115071
7341,10515,0.114650
7341,5254,0.114062
7341,6346,0.110107
7341,6231,0.107461
7341,2683,0.105590
7341,51,0.103550
7341,3968,0.102229
7341,10154,0.100622
14539,22143,0.088235
